Year,County,Operative_Procedure,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Procedure_Count,Infections_Reported,Infections_Predicted,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Met_2020_Goal,SIR_2015
2021,Sacramento,Appendix surgery,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",82,0,0.16,0.0,0.0,9.364999999999998,Same,Yes,0.0
2021,Sacramento,"Bile duct, liver or pancreatic surgery",Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",6,0,0.05,0.71,0.04,5.3,Same,No,0.0
2021,Sacramento,Cesarean section,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",256,0,0.25,0.0,0.0,14.82,Same,Yes,0.0
2021,Sacramento,Colon surgery,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",36,0,0.7,0.0,0.0,5.25,Same,Yes,1.11
2021,Sacramento,Exploratory abdominal surgery (laparotomy),Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",99,0,0.31,0.0,0.0,11.82,Same,Yes,0.0
2021,Sacramento,Gallbladder surgery,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",145,1,0.28,3.61,0.09,20.11,Same,No,0.0
2021,Sacramento,Gastric surgery,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",256,0,0.76,0.0,0.0,4.88,Same,Yes,0.0
2021,Sacramento,Hip prosthesis,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",141,3,0.82,3.65,0.75,10.67,Same,No,1.18
2021,Sacramento,"Hysterectomy, abdominal",Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",82,0,0.48,0.0,0.0,7.67,Same,Yes,0.0
2021,Sacramento,"Hysterectomy, vaginal",Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",34,0,0.14,0.0,0.0,11.86,Same,Yes,0.0
2021,Sacramento,Kidney surgery,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",12,0,0.04,0.0,0.0,13.61,Same,Yes,0.0
2021,Sacramento,Knee prosthesis,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",192,1,0.68,1.46,0.04,8.15,Same,No,0.0
2021,Sacramento,Open reduction of fracture,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",105,0,0.69,0.0,0.0,5.32,Same,Yes,0.0
2021,Sacramento,Ovarian surgery,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",55,0,0.03,0.0,0.0,16.18,Same,Yes,0.0
2021,Sacramento,Pacemaker surgery,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",1,0,0.0,0.0,0.0,15.5,Same,Yes,0.0
2021,Sacramento,Rectal surgery,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",5,0,0.07,0.0,0.0,7.84,Same,Yes,0.0
2021,Sacramento,Small bowel surgery,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",69,0,1.43,0.0,0.0,2.1,Same,Yes,0.0
2021,Sacramento,Spleen surgery,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",3,0,0.01,0.0,0.0,14.58,Same,Yes,0.0
2021,Sacramento,Thoracic surgery,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",73,0,0.15,0.0,0.0,8.75,Same,Yes,0.0
2021,Amador,Appendix surgery,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",27,1,0.07,0.0,0.0,9.364999999999998,Same,Yes,0.0
2021,Amador,"Bile duct, liver or pancreatic surgery",Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0.01,0.71,0.04,5.3,Same,No,0.0
2021,Amador,Cesarean section,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",79,0,0.1,0.18,0.01,5.55,Same,Yes,0.0
2021,Amador,Colon surgery,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",32,0,0.64,0.0,0.0,5.76,Same,Yes,0.0
2021,Amador,Exploratory abdominal surgery (laparotomy),Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",28,1,0.17,0.0,0.0,6.35,Same,Yes,0.0
2021,Amador,Gallbladder surgery,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",36,0,0.12,0.0,0.0,7.65,Same,Yes,0.0
2021,Amador,Gastric surgery,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",4,0,0.04,0.0,0.0,6.37,Same,Yes,0.0
2021,Amador,Hip prosthesis,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",39,0,0.18,0.0,0.01,6.32,Same,Yes,0.0
2021,Amador,Knee prosthesis,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",27,0,0.05,0.0,0.0,7.45,Same,Yes,0.0
2021,Amador,Open reduction of fracture,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",39,0,0.19,0.0,0.0,6.65,Same,Yes,5.7
2021,Amador,Ovarian surgery,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0.0,0.0,0.0,16.18,Same,Yes,0.0
2021,Amador,Rectal surgery,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",7,0,0.12,0.0,0.0,7.84,Same,Yes,0.0
2021,Amador,Small bowel surgery,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",19,0,0.37,0.0,0.0,10.02,Same,Yes,1.18
2021,Amador,Thoracic surgery,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0.0,0.0,0.0,8.75,Same,Yes,0.0
2021,Placer,Appendix surgery,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",66,0,0.15,0.0,0.0,9.364999999999998,Same,Yes,0.0
2021,Placer,"Bile duct, liver or pancreatic surgery",Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",7,0,0.09,0.71,0.04,5.3,Same,No,0.0
